seed,model,ratio,class,n_synth,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
42,Drifting,5,xss,2180,0.425531914893617,0.5087719298245614,0.0832400149309444,0.46296296296296297,0.5370370370370371,0.07407407407407413
123,CTGAN,1,bot,1360,0.6253340459647247,0.7294413057124921,0.10410725974776736,0.9815436241610739,0.9748322147651006,-0.006711409395973256
123,CTGAN,1,brute_force,1062,0.7067833698030634,0.738359201773836,0.03157583197077252,0.7258426966292135,0.748314606741573,0.022471910112359494
123,CTGAN,1,xss,436,0.41392649903288203,0.46924829157175396,0.05532179253887193,0.49537037037037035,0.47685185185185186,-0.01851851851851849
123,TabDDPM,1,bot,1360,0.6253340459647247,0.6966426858513189,0.0713086398865942,0.9815436241610739,0.9748322147651006,-0.006711409395973256
123,TabDDPM,1,brute_force,1062,0.7067833698030634,0.7321237993596584,0.02534042955659499,0.7258426966292135,0.7707865168539326,0.0449438202247191
123,TabDDPM,1,xss,436,0.41392649903288203,0.41927710843373495,0.005350609400852913,0.49537037037037035,0.4027777777777778,-0.09259259259259256
123,Drifting,1,bot,1360,0.6253340459647247,0.718865598027127,0.09353155206240227,0.9815436241610739,0.9781879194630873,-0.003355704697986628
123,Drifting,1,brute_force,1062,0.7067833698030634,0.7303370786516854,0.023553708848621957,0.7258426966292135,0.7303370786516854,0.004494382022471877
123,Drifting,1,xss,436,0.41392649903288203,0.445859872611465,0.031933373578582946,0.49537037037037035,0.4861111111111111,-0.009259259259259245
123,CTGAN,3,bot,4080,0.6253340459647247,0.7617161716171618,0.13638212565243701,0.9815436241610739,0.9681208053691275,-0.0134228187919464
123,CTGAN,3,brute_force,3186,0.7067833698030634,0.738015607580825,0.031232237777761518,0.7258426966292135,0.7438202247191011,0.017977528089887618
123,CTGAN,3,xss,1308,0.41392649903288203,0.4489795918367347,0.03505309280385266,0.49537037037037035,0.4583333333333333,-0.037037037037037035
123,TabDDPM,3,bot,4080,0.6253340459647247,0.7343056436271401,0.10897159766241538,0.9815436241610739,0.9714765100671141,-0.010067114093959773
123,TabDDPM,3,brute_force,3186,0.7067833698030634,0.7397849462365591,0.03300157643349566,0.7258426966292135,0.7730337078651686,0.04719101123595504
123,TabDDPM,3,xss,1308,0.41392649903288203,0.4261501210653753,0.012223622032493275,0.49537037037037035,0.4074074074074074,-0.08796296296296297
123,Drifting,3,bot,4080,0.6253340459647247,0.7167487684729064,0.09141472250818161,0.9815436241610739,0.9765100671140939,-0.005033557046979942
123,Drifting,3,brute_force,3186,0.7067833698030634,0.7383918459796149,0.03160847617655149,0.7258426966292135,0.7325842696629213,0.006741573033707815
123,Drifting,3,xss,1308,0.41392649903288203,0.502262443438914,0.08833594440603199,0.49537037037037035,0.5138888888888888,0.01851851851851849
123,CTGAN,5,bot,6800,0.6253340459647247,0.7635402906208718,0.13820624465614706,0.9815436241610739,0.9697986577181208,-0.011744966442953086
123,CTGAN,5,brute_force,5310,0.7067833698030634,0.7514060742407199,0.04462270443765648,0.7258426966292135,0.750561797752809,0.024719101123595433
123,CTGAN,5,xss,2180,0.41392649903288203,0.4852607709750567,0.07133427194217468,0.49537037037037035,0.49537037037037035,0.0
123,TabDDPM,5,bot,6800,0.6253340459647247,0.74373795761079,0.11840391164606523,0.9815436241610739,0.9714765100671141,-0.010067114093959773
123,TabDDPM,5,brute_force,5310,0.7067833698030634,0.7358078602620087,0.029024490458945285,0.7258426966292135,0.7573033707865169,0.03146067415730336
123,TabDDPM,5,xss,2180,0.41392649903288203,0.4272300469483568,0.013303547915474778,0.49537037037037035,0.4212962962962963,-0.07407407407407407
123,Drifting,5,bot,6800,0.6253340459647247,0.7675962815405046,0.14226223557577988,0.9815436241610739,0.9697986577181208,-0.011744966442953086
123,Drifting,5,brute_force,5310,0.7067833698030634,0.734321550741163,0.027538180938099566,0.7258426966292135,0.7235955056179775,-0.0022471910112360494
123,Drifting,5,xss,2180,0.41392649903288203,0.49887640449438203,0.0849499054615,0.49537037037037035,0.5138888888888888,0.01851851851851849
456,CTGAN,1,bot,1360,0.679814385150812,0.6954976303317536,0.015683245180941552,0.9832214765100671,0.9848993288590604,0.001677852348993314
456,CTGAN,1,brute_force,1062,0.7317073170731707,0.7445414847161572,0.012834167642986505,0.7415730337078652,0.7662921348314606,0.024719101123595433
456,CTGAN,1,xss,436,0.43711340206185567,0.45255474452554745,0.015441342463691776,0.49074074074074076,0.4305555555555556,-0.060185185185185175
456,TabDDPM,1,bot,1360,0.679814385150812,0.693634741225461,0.013820356074648932,0.9832214765100671,0.9781879194630873,-0.005033557046979831
456,TabDDPM,1,brute_force,1062,0.7317073170731707,0.7497337593184239,0.018026442245253183,0.7415730337078652,0.7910112359550562,0.04943820224719098
456,TabDDPM,1,xss,436,0.43711340206185567,0.40625,-0.03086340206185567,0.49074074074074076,0.3611111111111111,-0.12962962962962965
456,Drifting,1,bot,1360,0.679814385150812,0.7046818727490997,0.024867487598287608,0.9832214765100671,0.9848993288590604,0.001677852348993314
