seed,model,ratio,class,n_synth,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
789,Drifting,1,xss,436,0.4403292181069959,0.4364406779661017,-0.0038885401408941,0.4953703703703703,0.4768518518518518,-0.0185185185185184
1024,CTGAN,1,bot,1360,0.6628766344513929,0.7077486272117145,0.0448719927603216,0.9781879194630873,0.9731543624161074,-0.0050335570469798
1024,CTGAN,1,brute_force,1062,0.7199100112485939,0.7491712707182321,0.0292612594696382,0.7191011235955056,0.7617977528089888,0.0426966292134831
1024,CTGAN,1,xss,436,0.428842504743833,0.4541062801932367,0.0252637754494037,0.5231481481481481,0.4351851851851852,-0.0879629629629629
1024,TabDDPM,1,bot,1360,0.6628766344513929,0.6987372218881539,0.035860587436761,0.9781879194630873,0.9748322147651006,-0.0033557046979866
1024,TabDDPM,1,brute_force,1062,0.7199100112485939,0.7361563517915309,0.016246340542937,0.7191011235955056,0.7617977528089888,0.0426966292134831
1024,TabDDPM,1,xss,436,0.428842504743833,0.4184914841849148,-0.0103510205589181,0.5231481481481481,0.3981481481481481,-0.125
1024,Drifting,1,bot,1360,0.6628766344513929,0.6639954207212364,0.0011187862698435,0.9781879194630873,0.9731543624161074,-0.0050335570469798
1024,Drifting,1,brute_force,1062,0.7199100112485939,0.7354260089686099,0.0155159977200159,0.7191011235955056,0.7370786516853932,0.0179775280898876
1024,Drifting,1,xss,436,0.428842504743833,0.4568764568764569,0.0280339521326238,0.5231481481481481,0.4537037037037037,-0.0694444444444444
2048,CTGAN,1,bot,1360,0.6397820163487739,0.7383059418457648,0.09852392549699096,0.9848993288590604,0.9798657718120806,-0.005033557046979831
2048,CTGAN,1,brute_force,1062,0.731924360400445,0.748898678414097,0.016974318013652012,0.7393258426966293,0.7640449438202247,0.024719101123595433
2048,CTGAN,1,xss,436,0.4380165289256198,0.4444444444444444,0.006427915518824601,0.49074074074074076,0.42592592592592593,-0.06481481481481483
2048,TabDDPM,1,bot,1360,0.6397820163487739,0.6643990929705216,0.024617076621747724,0.9848993288590604,0.9832214765100671,-0.001677852348993314
2048,TabDDPM,1,brute_force,1062,0.731924360400445,0.7473002159827213,0.015375855582276388,0.7393258426966293,0.7775280898876404,0.038202247191011174
2048,TabDDPM,1,xss,436,0.4380165289256198,0.456575682382134,0.018559153456514155,0.49074074074074076,0.42592592592592593,-0.06481481481481483
2048,Drifting,1,bot,1360,0.6397820163487739,0.6178176067474961,-0.021964409601277768,0.9848993288590604,0.9832214765100671,-0.001677852348993314
2048,Drifting,1,brute_force,1062,0.731924360400445,0.7472035794183445,0.015279219017899526,0.7393258426966293,0.750561797752809,0.011235955056179692
2048,Drifting,1,xss,436,0.4380165289256198,0.4719626168224299,0.033946087896810084,0.49074074074074076,0.4675925925925926,-0.02314814814814814
3141,CTGAN,1,bot,1360,0.6782407407407407,0.7246737103791174,0.04643296963837673,0.9832214765100671,0.9781879194630873,-0.005033557046979831
3141,CTGAN,1,brute_force,1062,0.7192982456140351,0.7488888888888889,0.029590643274853834,0.7370786516853932,0.7573033707865169,0.020224719101123667
3141,CTGAN,1,xss,436,0.40458015267175573,0.4577777777777778,0.05319762510602205,0.49074074074074076,0.47685185185185186,-0.013888888888888895
3141,TabDDPM,1,bot,1360,0.6782407407407407,0.6907155529272619,0.012474812186521245,0.9832214765100671,0.9798657718120806,-0.003355704697986517
3141,TabDDPM,1,brute_force,1062,0.7192982456140351,0.7372793354101765,0.017981089796141436,0.7370786516853932,0.797752808988764,0.06067415730337078
3141,TabDDPM,1,xss,436,0.40458015267175573,0.37244897959183676,-0.03213117307991897,0.49074074074074076,0.33796296296296297,-0.1527777777777778
3141,Drifting,1,bot,1360,0.6782407407407407,0.6352813852813853,-0.042959355459355364,0.9832214765100671,0.9848993288590604,0.001677852348993314
3141,Drifting,1,brute_force,1062,0.7192982456140351,0.7355555555555555,0.016257309941520415,0.7370786516853932,0.7438202247191011,0.006741573033707926
3141,Drifting,1,xss,436,0.40458015267175573,0.4369747899159664,0.032394637244210656,0.49074074074074076,0.48148148148148145,-0.0092592592592593
5000,CTGAN,1,bot,1360,0.6735513482501434,0.7491940683430045,0.0756427200928611,0.9848993288590604,0.9748322147651006,-0.010067114093959773
5000,CTGAN,1,brute_force,1062,0.7224669603524229,0.7541713014460512,0.0317043410936283,0.7370786516853932,0.7617977528089888,0.024719101123595544
5000,CTGAN,1,xss,436,0.41700404858299595,0.48259860788863107,0.06559455930563513,0.47685185185185186,0.48148148148148145,0.004629629629629595
5000,TabDDPM,1,bot,1360,0.6735513482501434,0.7146371463714637,0.041085798121320294,0.9848993288590604,0.9748322147651006,-0.010067114093959773
5000,TabDDPM,1,brute_force,1062,0.7224669603524229,0.7347826086956522,0.01231564834322929,0.7370786516853932,0.7595505617977528,0.022471910112359605
5000,TabDDPM,1,xss,436,0.41700404858299595,0.4309133489461358,0.013909300363139865,0.47685185185185186,0.42592592592592593,-0.05092592592592593
5000,Drifting,1,bot,1360,0.6735513482501434,0.6647694934547524,-0.008781854795390953,0.9848993288590604,0.9798657718120806,-0.005033557046979831
5000,Drifting,1,brute_force,1062,0.7224669603524229,0.7381489841986456,0.015682023846222748,0.7370786516853932,0.7348314606741573,-0.0022471910112359383
5000,Drifting,1,xss,436,0.41700404858299595,0.4840182648401826,0.06701421625718668,0.47685185185185186,0.49074074074074076,0.013888888888888895
7777,CTGAN,1,bot,1360,0.6636415201361316,0.7001795332136446,0.03653801307751292,0.9815436241610739,0.9815436241610739,0.0
7777,CTGAN,1,brute_force,1062,0.7089715536105032,0.737885462555066,0.028913908944562805,0.7280898876404495,0.7528089887640449,0.024719101123595433
7777,CTGAN,1,xss,436,0.40227703984819735,0.45161290322580644,0.04933586337760909,0.49074074074074076,0.4537037037037037,-0.037037037037037035
7777,TabDDPM,1,bot,1360,0.6636415201361316,0.7012048192771084,0.03756329914097678,0.9815436241610739,0.9765100671140939,-0.005033557046979942
7777,TabDDPM,1,brute_force,1062,0.7089715536105032,0.7307692307692307,0.02179767715872749,0.7280898876404495,0.7685393258426966,0.04044943820224711
7777,TabDDPM,1,xss,436,0.40227703984819735,0.43283582089552236,0.030558781047325012,0.49074074074074076,0.4027777777777778,-0.08796296296296297
7777,Drifting,1,bot,1360,0.6636415201361316,0.6886016451233843,0.02496012498725264,0.9815436241610739,0.9832214765100671,0.001677852348993203
7777,Drifting,1,brute_force,1062,0.7089715536105032,0.7190265486725663,0.010054995062063088,0.7280898876404495,0.7303370786516854,0.0022471910112359383
7777,Drifting,1,xss,436,0.40227703984819735,0.4424778761061947,0.04020083625799736,0.49074074074074076,0.46296296296296297,-0.02777777777777779
9999,CTGAN,1,bot,1360,0.6662850601030338,0.7179802955665024,0.05169523546346866,0.9765100671140939,0.9781879194630873,0.001677852348993314
9999,CTGAN,1,brute_force,1062,0.7062706270627063,0.740174672489083,0.033904045426376705,0.7213483146067415,0.7617977528089888,0.04044943820224722
9999,CTGAN,1,xss,436,0.42376237623762375,0.45433255269320844,0.030570176455584686,0.49537037037037035,0.44907407407407407,-0.04629629629629628
9999,TabDDPM,1,bot,1360,0.6662850601030338,0.7217391304347827,0.05545407033174887,0.9765100671140939,0.9748322147651006,-0.001677852348993314
9999,TabDDPM,1,brute_force,1062,0.7062706270627063,0.7242105263157895,0.017939899253083258,0.7213483146067415,0.7730337078651686,0.051685393258427026
9999,TabDDPM,1,xss,436,0.42376237623762375,0.39603960396039606,-0.027722772277227692,0.49537037037037035,0.37037037037037035,-0.125
9999,Drifting,1,bot,1360,0.6662850601030338,0.7268201617921594,0.06053510168912557,0.9765100671140939,0.9798657718120806,0.003355704697986628
9999,Drifting,1,brute_force,1062,0.7062706270627063,0.7120879120879121,0.005817285025205843,0.7213483146067415,0.7280898876404495,0.006741573033707926
9999,Drifting,1,xss,436,0.42376237623762375,0.4312896405919662,0.007527264354342422,0.49537037037037035,0.4722222222222222,-0.02314814814814814
